[0422/165614.366:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165614.367:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165614.391:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0422/165620.324:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165620.324:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165632.318:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165632.318:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0428/091343.405:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0428/105241.864:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105458.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105503.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105508.384:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105513.390:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105518.405:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105523.413:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105528.432:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105533.440:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105538.456:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105543.463:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105548.476:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105553.491:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105558.502:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105603.519:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105608.530:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105613.542:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105618.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105623.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105628.580:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105633.592:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105638.602:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/105643.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
